Master,Protein FDR Confidence: Combined,Accession,Gene Symbol,Description,# Peptides,# PSMs,"Abundance Ratio: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio: (PLL, Normal) / (BLL, Normal)","Abundance Ratio: (PLL, Diseased) / (PLL, Normal)","Abundance Ratio (log2): (BLL, Diseased) / (BLL, Normal)","Abundance Ratio (log2): (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio (log2): (PLL, Normal) / (BLL, Normal)","Abundance Ratio (log2): (PLL, Diseased) / (PLL, Normal)","Abundance Ratio P-Value: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio P-Value: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio P-Value: (PLL, Normal) / (BLL, Normal)","Abundance Ratio P-Value: (PLL, Diseased) / (PLL, Normal)","Abundances (Grouped): BLL, Diseased","Abundances (Grouped): BLL, Normal","Abundances (Grouped): PLL, Diseased","Abundances (Grouped): PLL, Normal","Abundances (Grouped) Count: BLL, Diseased","Abundances (Grouped) Count: BLL, Normal","Abundances (Grouped) Count: PLL, Diseased","Abundances (Grouped) Count: PLL, Normal","Abundances (Normalized): F1: Sample, BLL, Diseased","Abundances (Normalized): F3: Sample, BLL, Diseased","Abundances (Normalized): F5: Sample, BLL, Diseased","Abundances (Normalized): F7: Sample, BLL, Diseased","Abundances (Normalized): F9: Sample, BLL, Diseased","Abundances (Normalized): F2: Sample, BLL, Normal","Abundances (Normalized): F4: Sample, BLL, Normal","Abundances (Normalized): F6: Sample, BLL, Normal","Abundances (Normalized): F8: Sample, BLL, Normal","Abundances (Normalized): F10: Sample, BLL, Normal","Abundances (Normalized): F11: Sample, PLL, Diseased","Abundances (Normalized): F13: Sample, PLL, Diseased","Abundances (Normalized): F15: Sample, PLL, Diseased","Abundances (Normalized): F17: Sample, PLL, Diseased","Abundances (Normalized): F19: Sample, PLL, Diseased","Abundances (Normalized): F12: Sample, PLL, Normal","Abundances (Normalized): F14: Sample, PLL, Normal","Abundances (Normalized): F16: Sample, PLL, Normal","Abundances (Normalized): F18: Sample, PLL, Normal","Abundances (Normalized): F20: Sample, PLL, Normal","Abundance: F1: Sample, BLL, Diseased","Abundance: F3: Sample, BLL, Diseased","Abundance: F5: Sample, BLL, Diseased","Abundance: F7: Sample, BLL, Diseased","Abundance: F9: Sample, BLL, Diseased","Abundance: F2: Sample, BLL, Normal","Abundance: F4: Sample, BLL, Normal","Abundance: F6: Sample, BLL, Normal","Abundance: F8: Sample, BLL, Normal","Abundance: F10: Sample, BLL, Normal","Abundance: F11: Sample, PLL, Diseased","Abundance: F13: Sample, PLL, Diseased","Abundance: F15: Sample, PLL, Diseased","Abundance: F17: Sample, PLL, Diseased","Abundance: F19: Sample, PLL, Diseased","Abundance: F12: Sample, PLL, Normal","Abundance: F14: Sample, PLL, Normal","Abundance: F16: Sample, PLL, Normal","Abundance: F18: Sample, PLL, Normal","Abundance: F20: Sample, PLL, Normal",Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Unique Peptides,# AAs,MW [kDa],calc. pI,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Pfam IDs,Entrez Gene ID,Gene ID,Ensembl Gene ID,Reactome Pathways,WikiPathways,# Protein Pathway Groups,# Razor Peptides,"Abundances (Grouped) CV [%]: BLL, Diseased","Abundances (Grouped) CV [%]: BLL, Normal","Abundances (Grouped) CV [%]: PLL, Diseased","Abundances (Grouped) CV [%]: PLL, Normal","Found in Sample: F1: Sample, BLL, Diseased","Found in Sample: F3: Sample, BLL, Diseased","Found in Sample: F5: Sample, BLL, Diseased","Found in Sample: F7: Sample, BLL, Diseased","Found in Sample: F9: Sample, BLL, Diseased","Found in Sample: F2: Sample, BLL, Normal","Found in Sample: F4: Sample, BLL, Normal","Found in Sample: F6: Sample, BLL, Normal","Found in Sample: F8: Sample, BLL, Normal","Found in Sample: F10: Sample, BLL, Normal","Found in Sample: F11: Sample, PLL, Diseased","Found in Sample: F13: Sample, PLL, Diseased","Found in Sample: F15: Sample, PLL, Diseased","Found in Sample: F17: Sample, PLL, Diseased","Found in Sample: F19: Sample, PLL, Diseased","Found in Sample: F12: Sample, PLL, Normal","Found in Sample: F14: Sample, PLL, Normal","Found in Sample: F16: Sample, PLL, Normal","Found in Sample: F18: Sample, PLL, Normal","Found in Sample: F20: Sample, PLL, Normal",# Protein Groups,Modifications,Checked,"Abundance Ratio Variability [%]: (BLL, Diseased) / (BLL, Normal)","Abundance Ratio Variability [%]: (PLL, Diseased) / (BLL, Diseased)","Abundance Ratio Variability [%]: (PLL, Normal) / (BLL, Normal)","Abundance Ratio Variability [%]: (PLL, Diseased) / (PLL, Normal)",Score Sequest HT: Sequest HT,Molecular Function,Phospho (S; T; Y) Count,Phospho (S; T; Y) Positions
Master Protein,High,O75964,ATP5MG,"ATP synthase subunit g, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MG PE=1 SV=3",2,4,100,1.267,100,1.326,6.64,0.34,6.64,0.41,1.00E-17,2.97E-01,1.00E-17,6.54E-01,1.12E+06,,2.39E+06,6.99E+05,2,,5,2,,,,3.89E+06,3.23E+05,,,,,,3.31E+05,4.82E+06,4.11E+05,2.39E+06,2.57E+06,,1.92E+06,,2.54E+05,,,,,3.89E+06,1.66E+04,,,,,,1.98E+03,2.15E+05,3.34E+03,3.22E+05,6.39E+04,,5.39E+05,,5.95E+03,,0,FALSE,8.262,23,2,103,11.4,9.64,2,other metabolic processes;transport,other membranes;mitochondrion,Pf04718,10632,A8K0K3; hsa:10632; O75964; Q96BV6; Q9UBZ7,ENSG00000167283,Mitochondrial protein degradation; Cristae formation; Formation of ATP by chemiosmotic coupling,Electron transport chain: OXPHOS system in mitochondria; Oxidative phosphorylation,5,0,119.78,,87.91,108.29,n/a,n/a,n/a,Peak Found,Peak Found,n/a,n/a,n/a,n/a,n/a,Peak Found,High,Peak Found,High,High,n/a,Peak Found,n/a,Peak Found,n/a,1,,FALSE,,136.82,,112.08,10.66,transporter activity,0,
Master Protein,High,Q01085,TIAL1,Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1,1,5,100,0.28,100,0.455,6.64,-1.83,6.64,-1.14,1.00E-17,2.92E-01,1.00E-17,6.39E-01,1.69E+05,,4.74E+04,1.04E+05,2,,3,1,,2.57E+05,,1.11E+05,,,,,,,,7.99E+03,,3.14E+05,4.74E+04,,1.04E+05,,,,,9.78E+02,,1.11E+05,,,,,,,,3.57E+02,,4.24E+04,1.18E+03,,2.93E+04,,,,0,FALSE,6.497,5,1,375,41.6,7.74,1,cell cycle OR cell proliferation;stress response;other biological processes,cytosol;nucleus;other cytoplasmic organelle;other cell component,Pf00076,7073,A8K3T0; A8K4L9; hsa:7073; Q01085,ENSG00000151923,FGFR2 alternative splicing,,1,0,56.28,,135.25,,n/a,Peak Found,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,High,Peak Found,n/a,High,n/a,n/a,n/a,1,,FALSE,,123.91,,125.92,16.69,nucleic acid binding activity;other molecular function,0,
Master Protein,High,Q5T1J5,CHCHD2P9,"Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial OS=Homo sapiens OX=9606 GN=CHCHD2P9 PE=5 SV=1",1,8,100,0.387,,100,6.64,-1.37,,6.64,1.00E-17,3.97E-01,,1.00E-17,2.94E+06,,1.14E+06,,1,,1,,,,,2.94E+06,,,,,,,,1.14E+06,,,,,,,,,,,,2.94E+06,,,,,,,,5.09E+04,,,,,,,,,0,FALSE,15.996,19,1,151,15.5,9.89,1,cell organization and biogenesis;other biological processes,mitochondrion;nucleus,,,Q5T1J5,,,,0,0,,,,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,0,,,27.08,nucleic acid binding activity,0,
Master Protein,High,Q8NHP8,PLBD2,Putative phospholipase B-like 2 OS=Homo sapiens OX=9606 GN=PLBD2 PE=1 SV=2,1,2,100,0.578,100,1.255,6.64,-0.79,6.64,0.33,1.00E-17,8.69E-01,1.00E-17,6.72E-01,6.91E+04,,4.00E+04,3.74E+04,2,,4,4,,6.11E+04,,7.81E+04,,,,,,,,3.73E+04,4.27E+04,7.56E+04,2.92E+04,1.18E+05,1.58E+04,6.53E+04,2.14E+04,,,2.32E+02,,7.81E+04,,,,,,,,1.67E+03,3.47E+02,1.02E+04,7.25E+02,2.30E+02,4.44E+03,4.63E+02,5.01E+02,,0.002,FALSE,2.874,2,1,589,65.4,6.8,1,other metabolic processes,non-structural extracellular;other cytoplasmic organelle,Pf04916,196463,F5H5E2; hsa:196463; Q8NHP8,ENSG00000151176,,,0,0,17.22,,44.03,85.89,n/a,Peak Found,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,n/a,1,,FALSE,,31.17,,91.4,5.54,other molecular function,0,
Master Protein,High,Q86X55,CARM1,Histone-arginine methyltransferase CARM1 OS=Homo sapiens OX=9606 GN=CARM1 PE=1 SV=3,2,2,100,0.08,100,0.072,6.64,-3.64,6.64,-3.8,1.00E-17,2.24E-02,1.00E-17,5.17E-02,1.53E+05,,1.23E+04,1.72E+05,2,,1,2,3.76E+05,,,6.25E+04,,,,,,,,,,1.23E+04,,,3.90E+04,7.57E+05,,,1.49E+03,,,6.25E+04,,,,,,,,,,1.66E+03,,,1.10E+04,5.37E+03,,,0,FALSE,10.17,6,2,608,65.8,6.73,2,cell organization and biogenesis;DNA metabolism;other metabolic processes;other biological processes,cytosol;nucleus;other cell component,"Pf06325, Pf11531",10498,A6NN38; hsa:10498; Q86X55,ENSG00000142453,"Estrogen-dependent gene expression; Heme signaling; Transcriptional activation of mitochondrial biogenesis; Cytoprotection by HMOX1; PPARA activates gene expression; Transcriptional regulation of white adipocyte differentiation; BMAL1:CLOCK,NPAS2 activates circadian gene expression; Activation of gene expression by SREBF (SREBP); RMTs methylate histone arginines; TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest; RORA activates gene expression",Androgen receptor signaling pathway; Nitric oxide metabolism in cystic fibrosis,15,0,101.1,,,127.56,Peak Found,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,High,Peak Found,n/a,n/a,1,,FALSE,,151.58,,309.77,6.81,nucleic acid binding activity;other molecular function,0,
Master Protein,High,Q15555,MAPRE2,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1,5,6,100,1.321,,100,6.64,0.4,,6.64,1.00E-17,3.55E-01,,1.00E-17,4.15E+05,,6.57E+05,,2,,1,,,,,4.62E+05,3.72E+05,,,,,,,,,6.57E+05,,,,,,,,,,4.62E+05,1.92E+04,,,,,,,,,8.85E+04,,,,,,,0,FALSE,18.707,33,5,327,37,5.57,5,cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes,cytoskeleton;other cell component,"Pf00307, Pf03271",10982,B2RE21; B3KR39; B4DJV4; B7Z2L3; E9PHR3; F5H1V8; G5E9I6; hsa:10982; Q15555; Q9UQ33,ENSG00000166974,,Ciliary landscape,1,0,15.31,,,,n/a,n/a,n/a,High,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,High,n/a,n/a,High,n/a,n/a,n/a,1,,FALSE,,85.81,,,16.64,cytoskeletal activity;other molecular function,0,
Master Protein,High,P22415,USF1,Upstream stimulatory factor 1 OS=Homo sapiens OX=9606 GN=USF1 PE=1 SV=1,2,4,100,0.727,100,3.347,6.64,-0.46,6.64,1.74,1.00E-17,9.19E-01,1.00E-17,1.44E-01,6.89E+05,,4.57E+05,1.36E+05,2,,5,1,,2.17E+06,,2.19E+05,,,,,,,6.84E+05,3.08E+05,8.16E+05,4.57E+05,3.32E+05,,,,1.36E+05,,,8.26E+03,,2.19E+05,,,,,,,4.09E+03,1.37E+04,6.63E+03,6.15E+04,8.26E+03,,,,3.19E+03,,0,FALSE,6.981,10,1,310,33.5,5.54,2,stress response;other biological processes,ER/Golgi;nucleus;other cell component,Pf00010,7391,B2RBZ4; hsa:7391; P22415; Q5SY46; Q7Z5Y1,ENSG00000158773,Estrogen-dependent gene expression,7q11.23 copy number variation syndrome; Familial hyperlipidemia type 2,3,0,115.57,,42.91,,n/a,Peak Found,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,Peak Found,Peak Found,High,High,n/a,n/a,n/a,Peak Found,n/a,1,,FALSE,,129.09,,48.41,13.85,nucleic acid binding activity;other molecular function,0,
Master Protein,High,Q9UIQ6,LNPEP,Leucyl-cystinyl aminopeptidase OS=Homo sapiens OX=9606 GN=LNPEP PE=1 SV=3,3,7,100,2.434,100,1.859,6.64,1.28,6.64,0.89,1.00E-17,1.11E-01,1.00E-17,3.86E-01,2.23E+05,,3.95E+05,1.91E+05,5,,5,3,2.80E+05,1.29E+05,3.92E+04,2.62E+05,2.23E+05,,,,,,4.98E+04,1.02E+05,3.95E+05,6.32E+05,5.30E+05,,1.91E+05,,2.76E+04,4.92E+05,1.11E+03,4.89E+02,3.83E+02,2.62E+05,1.15E+04,,,,,,2.98E+02,4.55E+03,3.21E+03,8.51E+04,1.32E+04,,5.36E+04,,6.45E+02,5.24E+03,0,FALSE,18.407,5,3,1025,117.3,5.73,3,cell-cell signaling;protein metabolism;other metabolic processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component,"Pf01433, Pf11838, Pf17900",4012,hsa:4012; O00769; Q15145; Q59H76; Q9TNQ2; Q9TNQ3; Q9UIQ6; Q9UIQ7,ENSG00000113441,Antigen processing: Ubiquitination & Proteasome degradation; Translocation of SLC2A4 (GLUT4) to the plasma membrane; Endosomal/Vacuolar pathway,,3,0,54.14,,75.34,99.57,Peak Found,Peak Found,Peak Found,High,Peak Found,n/a,n/a,n/a,n/a,n/a,Peak Found,Peak Found,Peak Found,High,High,n/a,High,n/a,Peak Found,Peak Found,1,,FALSE,,118.3,,132.84,25.94,other molecular function,0,
Master Protein,High,B8ZWD1,DBI,"Diazepam binding inhibitor, acyl-CoA binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=1",1,4,100,1.954,100,0.415,6.64,0.97,6.64,-1.27,1.00E-17,1.82E-01,1.00E-17,5.93E-01,2.20E+05,,3.99E+05,9.62E+05,3,,2,2,2.20E+05,,,1.09E+05,3.84E+05,,,,,,,1.97E+05,,8.10E+05,,5.52E+05,,1.68E+06,,,8.75E+02,,,1.09E+05,1.98E+04,,,,,,,8.78E+03,,1.09E+05,,1.08E+03,,1.19E+04,,,0.001,FALSE,3.544,21,1,97,11.1,8.32,1,,,Pf00887,1622,B8ZWD1,ENSG00000155368,,Sterol regulatory element-binding proteins (SREBP) signaling; PPAR-alpha pathway; Nuclear receptors meta-pathway; PPAR signaling pathway; Fatty acid transporters,5,0,58.26,,86.18,71.36,Peak Found,n/a,n/a,High,High,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,High,n/a,Peak Found,High,Peak Found,n/a,n/a,1,,FALSE,,94.98,,65.38,12.41,other molecular function,0,
Master Protein,Medium,Q9P1Z2,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CALCOCO1 PE=1 SV=2,1,2,100,7.116,100,1.377,6.64,2.83,6.64,0.46,1.00E-17,1.00E-02,1.00E-17,6.23E-01,2.98E+04,,2.12E+05,1.54E+05,1,,2,1,,,,2.98E+04,,,,,,,,2.67E+05,,,1.68E+05,,1.54E+05,,,,,,,2.98E+04,,,,,,,,1.19E+04,,,4.18E+03,,4.32E+04,,,,0.012,FALSE,2.177,3,1,691,77.3,4.82,1,cell-cell signaling;signal transduction;other biological processes,cytosol;nucleus;other cell component,"Pf07888, Pf17751, Pf18112",57658,B3KVA8; hsa:57658; Q6FI59; Q71RC3; Q86WF8; Q96JU3; Q9H090; Q9P1Z2,ENSG00000012822,,,0,0,,,31.97,,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,Peak Found,n/a,High,n/a,n/a,n/a,1,,FALSE,,34.41,,34.41,7.48,nucleic acid binding activity;other molecular function,0,
Master Protein,High,Q9BQ75,CMSS1,Protein CMSS1 OS=Homo sapiens OX=9606 GN=CMSS1 PE=1 SV=2,1,2,100,0.567,,100,6.64,-0.82,,6.64,1.00E-17,8.39E-01,,1.00E-17,5.99E+04,,3.40E+04,,1,,4,,,,,5.99E+04,,,,,,,,3.33E+04,3.47E+04,1.44E+05,2.79E+04,,,,,,,,,5.99E+04,,,,,,,,1.49E+03,2.82E+02,1.94E+04,6.93E+02,,,,,,0.001,FALSE,3.289,5,1,279,31.9,9.19,1,,,Pf14617,84319,A8K5S7; B4DUM1; E9PHS3; hsa:84319; Q9BQ75,ENSG00000184220,,,0,0,,,93.37,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,Peak Found,High,Peak Found,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,17.77,,,3.38,,0,
Master Protein,High,Q8IWA5,SLC44A2,Choline transporter-like protein 2 OS=Homo sapiens OX=9606 GN=SLC44A2 PE=1 SV=3,4,5,100,1.239,100,3.598,6.64,0.31,6.64,1.85,1.00E-17,4.93E-01,1.00E-17,2.32E-01,1.33E+05,,1.64E+05,4.57E+04,1,,4,1,,,,1.33E+05,,,,,,,,6.07E+04,1.77E+05,3.99E+05,1.53E+05,,4.57E+04,,,,,,,1.33E+05,,,,,,,,2.71E+03,1.44E+03,5.37E+04,3.79E+03,,1.28E+04,,,,0,FALSE,12.915,8,4,706,80.1,8.57,4,other metabolic processes;transport,plasma membrane;other membranes;mitochondrion,Pf04515,57153,B2RBB1; B3KNH3; B4DFJ0; F2Q9D7; hsa:57153; Q658V1; Q658Z2; Q6PJV7; Q8IWA5; Q8N2F0; Q9NY68,ENSG00000129353,"Neutrophil degranulation; Synthesis of PC; Transport of bile salts and organic acids, metal ions and amine compounds",,3,0,,,72.61,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,High,n/a,Peak Found,Peak Found,High,Peak Found,n/a,High,n/a,n/a,n/a,1,,FALSE,,52.57,,52.57,15.5,transporter activity,0,
Master Protein,High,Q9BRX8,PRXL2A,Peroxiredoxin-like 2A OS=Homo sapiens OX=9606 GN=PRXL2A PE=1 SV=3,2,4,100,1.38,,100,6.64,0.46,,6.64,1.00E-17,2.63E-01,,1.00E-17,7.18E+05,,9.92E+05,,1,,4,,,,,7.18E+05,,,,,,,1.62E+06,,8.62E+05,8.11E+05,1.14E+06,,,,,,,,,7.18E+05,,,,,,,9.67E+03,,7.00E+03,1.09E+05,2.83E+04,,,,,,0,FALSE,5.974,10,2,229,25.7,8.84,2,other biological processes,non-structural extracellular;other cell component,Pf13911,84293,B2RD81; Q6UW08; Q8N2K3; Q8NBK9; Q96JR0; Q9BRX8,ENSG00000122378,,10q22q23 copy number variation,1,0,,,33.32,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,Peak Found,High,High,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,24.65,,,9.95,other molecular function,0,
Master Protein,High,Q86YP4,GATAD2A,Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1,3,3,100,0.147,100,0.016,6.64,-2.76,6.64,-5.97,1.00E-17,6.78E-02,1.00E-17,7.22E-04,2.41E+05,,6.30E+04,1.13E+06,2,,2,2,,,,3.10E+05,1.87E+05,,,,,,,4.49E+04,,8.85E+04,,,,1.75E+06,,7.26E+05,,,,3.10E+05,9.64E+03,,,,,,,2.00E+03,,1.19E+04,,,,1.24E+04,,7.72E+03,0,FALSE,11.601,7,3,633,68,9.94,3,cell organization and biogenesis;DNA metabolism;other metabolic processes;other biological processes,nucleus,"Pf00320, Pf16563",54815,B5MC40; hsa:54815; Q7L3J2; Q86YP4; Q96F28; Q9NPU2; Q9NXS1,ENSG00000167491,Potential therapeutics for SARS; Regulation of PTEN gene transcription; HDACs deacetylate histones; RNA Polymerase I Transcription Initiation; ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression; Regulation of TP53 Activity through Acetylation,,6,0,34.95,,46.27,58.51,n/a,n/a,n/a,High,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,Peak Found,n/a,n/a,n/a,Peak Found,n/a,Peak Found,1,,FALSE,,51.93,,51.07,9.95,nucleic acid binding activity;other molecular function,0,
Master Protein,High,O15164,TRIM24,Transcription intermediary factor 1-alpha OS=Homo sapiens OX=9606 GN=TRIM24 PE=1 SV=3,1,1,100,0.447,,100,6.64,-1.16,,6.64,1.00E-17,6.46E-01,,1.00E-17,1.39E+05,,6.19E+04,,1,,1,,,,,1.39E+05,,,,,,,,,,6.19E+04,,,,,,,,,,1.39E+05,,,,,,,,,,8.34E+03,,,,,,,0.005,FALSE,2.491,1,1,1050,116.8,7.11,1,cell cycle OR cell proliferation;protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes,cytosol;mitochondrion;nucleus;other cell component,"Pf00439, Pf00628, Pf00643",8805,A4D1R7; A4D1R8; hsa:8805; O15164; O95854,ENSG00000122779,Signaling by BRAF and RAF1 fusions; Signaling by cytosolic FGFR1 fusion mutants; Signaling by FGFR1 in disease,,3,0,,,,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,0,,,2.44,signal transduction activity or receptor binding;nucleic acid binding activity;kinase activity;other molecular function,0,
Master Protein,High,Q8N983,MRPL43,"39S ribosomal protein L43, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL43 PE=1 SV=1",1,2,100,0.885,,100,6.64,-0.18,,6.64,1.00E-17,7.76E-01,,1.00E-17,1.60E+05,,1.41E+05,,1,,2,,,,,1.60E+05,,,,,,,,2.34E+05,8.55E+04,,,,,,,,,,,1.60E+05,,,,,,,,1.04E+04,6.95E+02,,,,,,,,0.001,FALSE,3.861,6,1,215,23.4,8.65,1,protein metabolism;other metabolic processes,other membranes;mitochondrion;translational apparatus,Pf05047,84545,B1AL06; B1AL07; B1AL09; B1AL10; C9J5Q3; D3DR71; hsa:84545; Q5JW06; Q7Z719; Q7Z7H6; Q86XN1; Q8N983; Q9BYC7,ENSG00000055950,Mitochondrial translation initiation; Mitochondrial translation elongation; Mitochondrial translation termination,,3,0,,,65.72,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,High,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,77.81,,,3.5,other molecular function,0,
Master Protein,High,Q9Y5S1,TRPV2,Transient receptor potential cation channel subfamily V member 2 OS=Homo sapiens OX=9606 GN=TRPV2 PE=1 SV=1,1,1,100,2.403,100,0.185,6.64,1.26,6.64,-2.44,1.00E-17,1.86E-01,1.00E-17,2.37E-01,2.02E+04,,4.86E+04,2.63E+05,1,,1,2,,,,2.02E+04,,,,,,,,,,,4.86E+04,,,,1.33E+05,5.20E+05,,,,2.02E+04,,,,,,,,,,,1.21E+03,,,,3.11E+03,5.53E+03,0.001,FALSE,3.973,2,1,764,85.9,5.83,1,cell organization and biogenesis;transport;other biological processes,plasma membrane;other membranes;other cell component,"Pf00520, Pf12796",51393,A6NML2; A8K0Z0; hsa:51393; Q9Y5S1; Q9Y670,ENSG00000187688,TRP channels,,1,0,,,,83.8,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,n/a,n/a,n/a,Peak Found,Peak Found,1,,FALSE,,0,,109.06,2.65,transporter activity,0,
Master Protein,High,O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1",1,1,100,0.01,100,0.01,6.64,-6.64,6.64,-6.64,1.00E-17,1.00E-17,1.00E-17,1.00E-17,4.32E+05,,,1.04E+06,1,,,1,,,,4.32E+05,,,,,,,,,,,,,,,,1.04E+06,,,,4.32E+05,,,,,,,,,,,,,,,,1.11E+04,0,FALSE,4.827,9,1,210,23.7,6.34,1,cell organization and biogenesis;other metabolic processes;stress response;transport,other membranes;mitochondrion,Pf12838,4728,B2RB86; hsa:4728; O00217; Q0VDA8,ENSG00000110717,Complex I biogenesis,Electron transport chain: OXPHOS system in mitochondria; Nonalcoholic fatty liver disease; Oxidative phosphorylation,5,0,,,,,n/a,n/a,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,1,,FALSE,,,,,3.08,transporter activity;other molecular function,0,
Master Protein,High,Q6PCB7,SLC27A1,Long-chain fatty acid transport protein 1 OS=Homo sapiens OX=9606 GN=SLC27A1 PE=1 SV=1,2,3,100,0.862,,100,6.64,-0.21,,6.64,1.00E-17,7.73E-01,,1.00E-17,1.69E+05,,1.95E+05,,2,,4,,,,2.35E+05,1.22E+05,,,,,,,3.36E+05,1.41E+05,2.70E+05,7.49E+04,,,,,,,,,2.30E+03,1.22E+05,,,,,,,2.01E+03,6.30E+03,2.19E+03,1.01E+04,,,,,,,0,FALSE,12.358,6,2,646,71.1,8.53,2,other metabolic processes;stress response;transport;signal transduction;other biological processes,plasma membrane;other membranes;ER/Golgi,"Pf00501, Pf13193",376497,A6NIH2; B7Z662; hsa:376497; Q6PCB7,ENSG00000130304,PPARA activates gene expression; Transport of fatty acids,PPAR-alpha pathway; Nuclear receptors meta-pathway; PPAR signaling pathway; Fatty acids and lipoproteins transport in hepatocytes,6,0,44.89,,57.8,,n/a,n/a,Peak Found,High,n/a,n/a,n/a,n/a,n/a,n/a,Peak Found,High,Peak Found,Peak Found,n/a,n/a,n/a,n/a,n/a,n/a,1,,FALSE,,99.02,,,9.18,transporter activity;enzyme regulator activity;other molecular function,0,
